Average of viollevel,,Column Labels,,,,,
Row Labels,neighborhood,2015,2016,2017,2018,2019,Grand Total
Napoles,EAST BOSTON,1.25,1.342857143,1.375,0,2,1.325
Fiorella's Express,BRIGHTON,1,1.545454545,1.37037037,1.173913043,,1.325
PROVINCE PLACE,BOSTON,1,1.666666667,1.666666667,1,,1.324324324
College Club,BOSTON,1.333333333,1.4,1,1.2,,1.324324324
Victoria Seafood,BOSTON,1.473684211,1.260869565,1.314814815,1.333333333,1,1.323863636
ANTICO FORNO,BOSTON,1.333333333,1.5,1,1.4,1,1.323809524
Shanti Boston,ROSLINDALE,1.48,1.142857143,1.272727273,1.428571429,1.181818182,1.323529412
Le's Restaurant,ALLSTON,1.344827586,1.263157895,1.105263158,1.44,,1.323529412
Santo Domingo Restaurant,BOSTON,,1,0.857142857,1.4,1.545454545,1.323529412
EL EMBAJADOR RESTAURANT,JAMAICA PLAIN,1.352941176,1.307692308,1.25,1.4,,1.323529412
L & C Spanish Restaurant,DORCHESTER,0,1,2.6,1.166666667,,1.323529412
MUL'S DINER,SOUTH BOSTON,1.153846154,1.296296296,1.321428571,1.428571429,1.551724138,1.322916667
Unchained Pizza,DORCHESTER,,1,1.317073171,1.428571429,1.4,1.32173913
SIMCO'S RESTAURANT,MATTAPAN,1.25,1.470588235,1,1.307692308,1,1.321428571
Emack & Bolio,BOSTON,1,1.333333333,1.333333333,1.428571429,,1.321428571
LA REINA,EAST BOSTON,1.148148148,1,1.5,1,2,1.321428571
City Winery,BOSTON,,,0,1.37037037,,1.321428571
LAZ CAFE,ROXBURY,1.243589744,1.162162162,1.2,1.571428571,1.647058824,1.32103321
RIVER STREET GRILL,MATTAPAN,1.636363636,1.333333333,1.285714286,0,,1.320754717
LULUS' ALLSTON,ALLSTON,0.857142857,2.2,1,1.2,,1.320754717
Blend,DORCHESTER,1,0.9,1.222222222,1.592592593,,1.320754717
CHART HOUSE,BOSTON,0,1.571428571,1.142857143,1.454545455,,1.320754717
Restaurante Cesaria,DORCHESTER,1.342857143,1.44,1.285714286,1.125,1.363636364,1.320512821
SKB FOOD STORE,DORCHESTER,1.346153846,1,1.321428571,1.5,,1.32038835
Jugos Juice Boston @ MBTA,BOSTON,1.363636364,1,1.4,1.333333333,1.285714286,1.32
THE BLARNEY STONE,DORCHESTER,1.428571429,1.2,1,1.3,1.5,1.319148936
THE BASEBALL TAVERN,BOSTON,1.25,1.127272727,1.714285714,1.421052632,,1.318777293
The Causeway,BOSTON,0,1.076923077,1.461538462,1.421052632,,1.318681319
STALEX RESTAURANT,DORCHESTER,1.294117647,1.181818182,1,1.631578947,,1.318181818
WONDER BAR,ALLSTON,1.8,0.965517241,,1.166666667,,1.318181818
Pastoral,BOSTON,1,0,1,2,,1.318181818
DUNKIN DONUT,BOSTON,1.75,1.666666667,0.875,1.2,,1.318181818
Finn McCool's Bistro & Bar,BOSTON,,,1.777777778,1,,1.318181818
Chipotle Mexican Grill No. 1520,BOSTON,1,0.5,2.222222222,0,,1.318181818
Brighams & Womens Hospital - Tower Cafe,BOSTON,1.48,0,1.5,0.666666667,1.666666667,1.318181818
LEGAL SEA FOOD,BOSTON,0,0,,1.466666667,,1.294117647
,EAST BOSTON,1,1,1.75,0.5,3,1.326086957
Wingz Xpress,BRIGHTON,,,0,1.413793103,1.181818182,1.317073171
The Wheelhouse,BOSTON,0.5,1.142857143,1.545454545,1.166666667,,1.316326531
My Sisters Crawfish,DORCHESTER,1.296296296,1,1.435897436,1.434782609,1.2,1.316239316
TREMONT CAFETERIA,BOSTON,0,1.2,1.2,1.625,,1.315789474
WENTWORTH BEATTY HALL,MISSION HILL,1.166666667,2.333333333,0.5,1.4,1,1.315789474
The Lansdowne,BOSTON,1,1.428571429,1.217391304,2,,1.315789474
MOOYAH,BOSTON,1,1.571428571,1.384615385,1,0,1.315789474
GLOBE BAR & CAFE,BOSTON,,,,1.181818182,1.5,1.315789474
Family Dollar No.  5180,WEST ROXBURY,1,1.333333333,1.5,1.666666667,,1.315789474
HOST-JOHN ROCKETS-GATE 28,EAST BOSTON,1.5,1.5,1,0,0,1.315789474
Boston Bagel Company,SOUTH BOSTON,,,,1.181818182,1.5,1.315789474
Azama Grill,ALLSTON,1,1.2,1.454545455,1.416666667,,1.315789474
RoChambeau,BOSTON,1.086956522,1.666666667,1.636363636,1,,1.314814815
DUNKIN' DONUTS No. 0311,ROXBURY,1.2,1.3125,1.090909091,1.384615385,2,1.314814815
Pete's Seafood,DORCHESTER,1.25,1.466666667,1.181818182,1.230769231,1.333333333,1.314606742
Moko,SOUTH BOSTON,,,,1.314285714,,1.314285714
Starbucks Coffee No.  7544,BOSTON,1.571428571,1,1.571428571,1.25,,1.31372549
Fuentes Market & Liquors,MISSION HILL,,1.2,1.368421053,1.384615385,1.2,1.313131313
Mario's Subs & Salad,ROXBURY,1.181818182,1.142857143,1.347826087,1.642857143,,1.313043478
Boston Park Plaza (Main Kitchen/Room Serv.),BOSTON,1.229508197,1.571428571,1.5,1.25,1.25,1.313043478
THE UNITED CLUB,EAST BOSTON,0,1.857142857,1.333333333,0,0,1.3125
Pollo Campero,EAST BOSTON,1.333333333,1.555555556,1,1,0,1.3125
New York Pizza,BOSTON,1.173913043,1,0,0,2.333333333,1.3125
Los Amigos Mexican Grill,WEST ROXBURY,1.571428571,1.285714286,1.153846154,1.263157895,,1.312195122
NEW YORK STYLE CHICKEN AND PIZZA,BRIGHTON,1.545454545,1.148148148,1.5,1.416666667,,1.311926606
House of Blues,BOSTON,1.4,1.4,,1.090909091,,1.311688312
Wings Over Boston,BOSTON,1.5,1.444444444,0.857142857,1.24,,1.31147541
FOOD WALL CHINESE,JAMAICA PLAIN,1.340425532,1.416666667,1.076923077,1.305555556,,1.310880829
Wing Stop,EAST BOSTON,,0,1.5,2,,1.5
,ROSLINDALE,,,,1.111111111,1.25,1.176470588
Pavia,BOSTON,1,1.315789474,1.6,1,1,1.310344828
GAME ON FENWAY PARK,BOSTON,1.166666667,1.333333333,1.571428571,1.142857143,,1.310344828
CHILDRENS HOSPITAL MAIN CAF,BOSTON,0.333333333,1.5,1.2,1.533333333,1,1.310344828
Boloco-Atlantic Wharf,BOSTON,0,0,1.857142857,1,1,1.310344828
Alibi,BOSTON,0,1.5,1.5,1.166666667,,1.310344828
BACKWOODS PIZZA,ROXBURY,1,1.428571429,1.230769231,1.555555556,,1.309859155
Happy Lemon,BOSTON,1.666666667,1.125,1.285714286,1.333333333,1.333333333,1.30952381
Bain Capital (40th Fl),BOSTON,1,1.208333333,1,1.941176471,1,1.308823529
Saigon Seafood Restaurant,DORCHESTER,,1,1.461538462,1.27173913,,1.308333333
MADONNA SHRINE,EAST BOSTON,0,1.6,1,0,,1.307692308
Pino's Pizza House,BRIGHTON,1,1,1,1.5,,1.307692308
Scorpion Bar Seaport Square,BOSTON,,,1.4,1,,1.307692308
Richdale Food Shops 110/City Conveince,BOSTON,,,0,1.545454545,0,1.307692308
Midway Cafe,JAMAICA PLAIN,1,1.272727273,,1.384615385,,1.307692308
Irish Village Inc.,BRIGHTON,0,0,1,1.75,,1.307692308
Greek Pizza,DORCHESTER,,,,1.222222222,1.5,1.307692308
DACOOPA SUB & PIZZA,EAST BOSTON,1.111111111,1.636363636,1,0,,1.307692308
ATRIUM CAFE/HARVARD MED.SCHOOL,BOSTON,1.6,2,0,0.5,,1.307692308
BUKHARA INDIAN BISTRO,JAMAICA PLAIN,1.428571429,1.086956522,1.25,1.403508772,1.210526316,1.307142857
FLAMES RESTAURANT,MATTAPAN,1.5,1.512820513,1.1875,1,1.181818182,1.352517986
,MISSION HILL,1.4,1.24,1,1.285714286,1.454545455,1.273684211
Green T Coffeeshop,ROSLINDALE,,0.941176471,1.153846154,1.482758621,,1.306930693
Happy Super Mart,DORCHESTER,1.555555556,1,1,1.222222222,,1.306451613
LUCKY BOSTON CHINESE REST.,ROXBURY,1.333333333,1.428571429,1.220338983,1.285714286,,1.30625
Mandarin Oriental Hotel,BOSTON,,1.105263158,1.5,1.409090909,,1.306122449
Rome Pizza,ROXBURY,1.29787234,1.482142857,1.19047619,1.238095238,,1.305882353
Starbucks Coffee No. 9463,BOSTON,1.2,1.666666667,1.454545455,1,,1.305555556
Food Basket,BOSTON,0,1,0,1.666666667,,1.333333333
,ROXBURY,0,0,2,1.4,1.666666667,1.277777778
Dozzi,EAST BOSTON,1,1.333333333,1.5,1.6,,1.305555556
Himayalan Bistro,WEST ROXBURY,1.533333333,1.117647059,1,1.3,,1.305343511
The Olive Garden Italian Restaurant No.  1674,DORCHESTER,1,1.24,1.259259259,1.64,,1.305263158
HALEY HOUSE BAKERY CAFE,ROXBURY,1.431034483,1.132075472,1.204081633,1.533333333,,1.305263158
WHOLE FOODS MARKET,BOSTON,1.25,1.545454545,1,1.375,,1.392857143
,BRIGHTON,1.485714286,1.108108108,1,1.3125,,1.233082707
,CHARLESTOWN,1,1.2,1,1.857142857,3,1.529411765
,ROXBURY,2,1.111111111,0.857142857,0,1.6,1.2
VERONICA'S FOOD MARKET,EAST BOSTON,1.5,1,1,0,,1.304347826
MIKES DONUTS,ROXBURY,0.5,1.375,1.421052632,1.275862069,1,1.304347826
Barrington Coffee,BOSTON,1,1.5,1.333333333,0,,1.304347826
Arizona B B Q,ROXBURY,1.5625,1.175438596,1.282051282,1.1,2,1.303867403
McDonald's,BOSTON,1.142857143,1.648648649,0.888888889,1,2,1.391891892
,DORCHESTER,,,,1.666666667,,1.666666667
,EAST BOSTON,1.0625,0.875,0,0.75,,0.977777778
,ROSLINDALE,,,,1.5,1.222222222,1.380952381
BILLY'S TEXAS B.B.Q.,DORCHESTER,1.4375,1,1.090909091,1.75,1,1.303370787
Lord Jeff's Beef Place,ROXBURY,1,1.461538462,1.263157895,1.157894737,,1.303030303
PIZZERIA REGINA OF SO. STATION,BOSTON,,1.375,1.142857143,1,,1.303030303
Falafel King,BOSTON,1,1.275862069,1,1.363636364,1.571428571,1.303030303
Andre's Cafe,ROXBURY,1.285714286,1.235294118,1.375,1,1,1.303030303
Star Market No. 4572,BRIGHTON,1.296296296,1.363636364,0.666666667,1,,1.302631579
HILLSIDE CAFE,BRIGHTON,1.666666667,1,1.090909091,0,1,1.302325581
DBAR,DORCHESTER,1,1.5,1.142857143,1.272727273,,1.302325581
Cornish Pasty Co. Boston,BOSTON,,0,1,1.378378378,,1.302325581
Ben & Jerry's,BOSTON,1.444444444,1.2,0.923076923,1.636363636,1,1.301886792
NO NAME,BOSTON,1,1.275862069,1.424242424,1,,1.301369863
DIMITRIOS HOUSE OF PIZZA,DORCHESTER,1.4,1,1.352941176,1.230769231,1,1.300884956
Victoria's Diner,ROXBURY,1,1.148148148,1.349206349,1.423076923,,1.3
Tejeda Family Market,MATTAPAN,,,,1.3,,1.3
Marketplace Cafe & Take Away,DORCHESTER,1.6,1.285714286,1.153846154,1.428571429,1,1.3
Regina Pizzeria at Fenway,BOSTON,1.444444444,1.285714286,1.076923077,1.366666667,1.125,1.3
Safari African Restaurant,MATTAPAN,1,1.666666667,1.666666667,1,,1.3
MISONO GRILL,ALLSTON,2.142857143,1,1,1.142857143,,1.3
QUALITY EATS,ROXBURY,2,1,1.5,1.333333333,,1.3
Glass Slipper,BOSTON,,0,0,1.444444444,,1.3
Fenway Stadium 13,BOSTON,1.5,1,1.25,1,,1.3
EDDIE C'S,EAST BOSTON,1,0,0,2.333333333,0,1.3
CLARKE'S,BOSTON,0,1.571428571,1,1.181818182,1,1.3
Anshur Restauruant,ROXBURY,1.215053763,1.302325581,1.392857143,1.285714286,1.416666667,1.299651568
Hong Kong 888 Cafe,ROSLINDALE,1.766666667,1,1,1,1,1.298701299
Zo,BOSTON,1.2,1.125,1.555555556,1.333333333,1,1.298076923
La Belle Creole,MATTAPAN,,,1.266666667,1.3125,,1.29787234
DUBLIN HOUSE,DORCHESTER,1,1.416666667,1.181818182,1.230769231,1.666666667,1.29787234
THE HUB PUB,BOSTON,1,1.4,1.5,1.111111111,1,1.297297297
THE HARP,BOSTON,1,1,1.5,1.21875,1.375,1.297297297
Wok 'N Talk,JAMAICA PLAIN,1,1.25,,1.555555556,,1.296875
Tiki Rock/Oisa,BOSTON,,,1.8,1.5,1,1.296296296
Millennium Store Inc.,DORCHESTER,1.5,1.3,1,1,,1.296296296
Precinct Kitchen & Bar,BOSTON,0,2.2,0,1.235294118,1,1.296296296
Portillo Brothers Market,EAST BOSTON,1.333333333,1,2,1,,1.296296296
J. Pace & Son Uptown,BOSTON,1,1.333333333,1,1.4,,1.296296296
Battery Park Restaurant & Lounge,BOSTON,1,1.372093023,1.2,1,1.333333333,1.296296296
COFFEE SHOP,SOUTH BOSTON,1,1.615384615,1,1,,1.296296296
Dona Habana Restaurant,ROXBURY,,1.037037037,1.307692308,1.434782609,,1.296
Fins Sushi & Grill  Inc.,BRIGHTON,1.777777778,1.133333333,1.35,1.071428571,1.333333333,1.296
Sorella's,JAMAICA PLAIN,1.526315789,1.153846154,1.117647059,1.235294118,,1.295652174
Northeastern Univ./International Village,ROXBURY,0.75,1.363636364,0.857142857,1.636363636,,1.295454545
DRY DOCK CAFE,BOSTON,1,1.411764706,1.25,1.615384615,,1.294871795
100 Percent Delicia Food,ROSLINDALE,1.153846154,1.465116279,1.315789474,1.090909091,,1.294573643
V & D Variety,DORCHESTER,0,1.333333333,1.555555556,0,,1.294117647
The Pot Bar,ALLSTON,,,,1.294117647,,1.294117647
Quic Pic BBQ,BOSTON,1.142857143,1.636363636,1,1.4,,1.294117647
New Sushi @ Allston,ALLSTON,,,,1.294117647,,1.294117647
MRS. B'S CAFE,BOSTON,1,0.5,0.6,1,2.333333333,1.294117647
PABU Restaurant,BOSTON,,0,1,2,1,1.294117647
Boston Fried Chicken,DORCHESTER,,,,1.416666667,,1.416666667
,MATTAPAN,,,,,1,1
2Twenty2,BOSTON,,,0,1.375,,1.294117647
Bar Louie,BOSTON,1,1.25,1,2.333333333,,1.294117647
Shojo,BOSTON,1.272727273,0.666666667,1.380952381,0.5,,1.293103448
Flour Bakery & Cafe,BOSTON,1.25,1.444444444,1.078947368,1.303030303,1.714285714,1.294117647
,ROXBURY,1,1.44,1.052631579,1.666666667,,1.290909091
PANIFICIO,BOSTON,1.142857143,1.307692308,1.6,1.314285714,,1.292929293
THE JUNCTION,SOUTH BOSTON,1,1.4,1,1.363636364,,1.292682927
Fogo de Chao - Churrascaria,BOSTON,1.413793103,1.111111111,1,1.291666667,1.285714286,1.29245283
Canary Square,JAMAICA PLAIN,1.5,1.125,0.909090909,1,,1.292307692
TRAVEL TRADERS No. 189,BOSTON,1.8,1,1,0.75,1,1.291666667
W Boston Banquet Rooms & Kitchen,BOSTON,0.333333333,1.636363636,1.2,1.275862069,,1.291666667
Panera Bread No.  1636,BOSTON,3,0.8,1.363636364,1,,1.291666667
Park Avenue Market,ROSLINDALE,1.4,1.347826087,1,1.275862069,,1.291666667
BMS Paper,JAMAICA PLAIN,1,1,0,1.307692308,1.666666667,1.291666667
BM4: BON ME ORANGE,BOSTON,1,0,3,1.4,1,1.291666667
B U-100 Baystate Dining Cafe/Multi Purpose,BOSTON,1.6,1.285714286,1,1,,1.291666667
Brigham & Women Hospital OR Lounge,BOSTON,1.714285714,1.666666667,0,0.8,0,1.291666667
Red Moon Restuarant,HYDE PARK,1.269230769,1.333333333,1.4,1.125,,1.290909091
ALEX PIZZA,ROXBURY,1,2,1.285714286,1.090909091,,1.290322581
Taj Mahal Cuisine,MISSION HILL,,,1.2,1.2,1.461538462,1.289473684
Yummy Yummy,ROXBURY,,1.45,1.083333333,1.25,1,1.289156627
LATINO RESTAURANT,JAMAICA PLAIN,1.102040816,1.156862745,1.225806452,1.653061224,,1.288888889
International Halal Market,MISSION HILL,0.928571429,1.35443038,1,1.727272727,1.333333333,1.288343558
Savin Bar And Kitchen,DORCHESTER,1,1.352941176,1.588235294,1.166666667,1.111111111,1.287878788
Brassica Kitchen & Cafe,JAMAICA PLAIN,1.25,1.25,1.375,1.25,,1.287037037
SHANGHAI GATEWAY RESTAURANT,ALLSTON,1.485714286,1.333333333,1.133333333,1.2,1,1.286956522
South End Pizza & Grill,BOSTON,,,,1.25,1.333333333,1.285714286
STARBUCKS COFFEE No.  7823,BRIGHTON,1,1,1,1.380952381,,1.285714286
Twelve Hours,BRIGHTON,1,1.285714286,1,1.545454545,,1.285714286
TOUCHIE'S SHAMROCK PUB,SOUTH BOSTON,1,1.142857143,1.388888889,1.666666667,,1.285714286
Sarku Japan,BOSTON,2.333333333,1,1,1,1,1.285714286
Next Door Cafe,ALLSTON,,,1,1.333333333,,1.285714286
Papa's Pizza Company,BOSTON,,,,1.333333333,1,1.285714286
Quick Stop,ROXBURY,1.142857143,0.5,1,1.625,,1.285714286
Millennium Tower Residents Only Amenity Restaurant,BOSTON,,0,2,0.5,,1.285714286
Prieto El Rey De Las Empanadas,DORCHESTER,1.8,1.208333333,1.125,1.260869565,1,1.285714286
Recreo Coffee,BOSTON,,,0,1.5,,1.285714286
Meridian Corner Market,EAST BOSTON,1.285714286,1.333333333,1,1,,1.285714286
Saint John's Seminary Bishop Peterson Hall,BRIGHTON,2,2,1,1.266666667,,1.285714286
Harry's All American Breakfast,BOSTON,,,,1.285714286,1.285714286,1.285714286
Day Square Mobil,EAST BOSTON,1.307692308,0.75,0.666666667,3,,1.285714286
Hong Kong Supermarket of Allston,ALLSTON,1.533333333,1.130434783,1.157894737,1.461538462,,1.285714286
Fuel America,BRIGHTON,1,1,1.363636364,1,1.5,1.285714286
Hen House,ROXBURY,1,1.347826087,1.166666667,1.4,,1.285714286
Crispy Dough Pizzeria,MISSION HILL,1.181818182,1.340425532,1.058823529,1.376811594,,1.285714286
Crystal Restaurant,ALLSTON,0,0,1.6,0,1.428571429,1.285714286
Stop & Shop No. 413,HYDE PARK,1.333333333,0.75,1,1.41025641,,1.284210526
Pizzatalia,ROXBURY,1.181818182,1.08,1.454545455,1.545454545,1.5,1.284210526
CAPPY'S PIZZA,HYDE PARK,1.75,1,1,1.083333333,,1.225806452
,JAMAICA PLAIN,1,1.093023256,1.242424242,1.736842105,1.545454545,1.314049587
ROMANO'S,ROSLINDALE,1.272727273,1.148148148,1.333333333,1.333333333,,1.283464567
Handy's Cafe,DORCHESTER,,,1.172413793,1.387096774,,1.283333333
Mike's Cafe,BOSTON,1.6,1.5,1.666666667,1,1,1.282608696
Icon,BOSTON,1,1.333333333,,1,,1.282608696
Centerplate @ Blue Hills Bank Pavilion,BOSTON,1,1.222222222,1.3,1.75,,1.282608696
Sakanaya Boston,ALLSTON,1.5,0,1,1.285714286,1.5,1.282051282
Lobstah On A Roll,ROXBURY,,,0,1.142857143,1.8,1.282051282
Laugh Boston,BOSTON,1,1.5,0,1.428571429,,1.282051282
Top Of The Hub,BOSTON,1.166666667,1.4,1.266666667,1.333333333,,1.281481481
Montecristo Mexican Grill,BOSTON,1,1.212121212,1,1.513513514,1.4,1.281481481
Showa Womens Institution,JAMAICA PLAIN,0,1.25,1.2,1.428571429,,1.28125
BROWNSTONE,BOSTON,1,1.454545455,1.384615385,1.333333333,1.25,1.28125
Tapestry,BOSTON,,1.142857143,,1.375,1.3,1.28
Pavillion Restaurant,BOSTON,1.909090909,0.666666667,0,1,,1.28
Adams Fish Mkt,DORCHESTER,1,0,1.666666667,1.444444444,,1.28
Blackbird Donuts,BOSTON,,,0.857142857,1.571428571,1,1.28
Butterfly Coffee,ROXBURY,1.666666667,1.274509804,1,1.416666667,,1.28
Rox Diner,WEST ROXBURY,1.6,1.363636364,1.166666667,1.090909091,,1.279569892
HILTON BOSTON LOGAN AIRPORT,EAST BOSTON,1,1.615384615,0.333333333,0.6,,1.279069767
Allston Diner,ALLSTON,1.5,1.2,1.142857143,1.277777778,,1.279069767
Charlie's Pizza & Cafe,ALLSTON,1.8,1.222222222,1.25,1,,1.279069767
GREENHILLS BAKERY,DORCHESTER,1.5,1,1,1.451612903,,1.278481013
SIP,BOSTON,1,1.285714286,1.545454545,1,,1.277777778
SHEA'S TAVERN,SOUTH BOSTON,0.666666667,1.266666667,1.444444444,1,,1.277777778
Hillside Market,MISSION HILL,,,,1.272727273,1.285714286,1.277777778
Village Pizza & Grill,BOSTON,1,1.428571429,1.23255814,1.5,,1.277227723
Costello's Tavern Inc,JAMAICA PLAIN,1.583333333,1,1.2,1.185185185,,1.277227723
Walgreen's No. 3016,BOSTON,1.4,1,1,1.4,,1.276923077
Comella's,WEST ROXBURY,1.485714286,1.153846154,1.470588235,1.142857143,,1.276836158
YUM MEE GARDEN,ROXBURY,1.2,1.258064516,1.363636364,1.294117647,,1.27672956
Bred,DORCHESTER,0.666666667,1.457142857,1,1.2,,1.276315789
Wm. E. Carter Ameri. Legion Post 16,MATTAPAN,,,,1.275862069,,1.275862069
Guira and Tambora Restaurant,ROSLINDALE,1.310344828,1.266666667,1.444444444,1,,1.275229358
The Best Sausage Co.  Inc.,BOSTON,1.461538462,1.375,0.9,1,,1.275
W Boston Library Bar,BOSTON,1.4,0.666666667,1.8,1.181818182,,1.275
La Taqueria,ROSLINDALE,,0,1.363636364,1.19047619,1.571428571,1.275
University Club of Boston,BOSTON,0.666666667,1.571428571,1.444444444,1.176470588,1,1.274509804
Genji,BOSTON,0,0.714285714,2,1.888888889,0,1.5
,BRIGHTON,0.5,0.333333333,0,0,,0.222222222
Compadres Meat Market,ROXBURY,1.1,1.058823529,1,1.448275862,1.625,1.273972603
Family Dollar Stores of MA No. 2392,SOUTH BOSTON,1.285714286,1.205128205,1.16,1.5,,1.273684211
Station Grocery,EAST BOSTON,1.5,1,0.666666667,0,,1.272727273
Tipsy's Beer & Wine,MISSION HILL,,1,1,1.75,1.6,1.272727273
Saigon Chicken House,DORCHESTER,,,,1.272727273,,1.272727273
ROYAL ROAST BEEF & SEAFOOD,EAST BOSTON,1,1.333333333,1.631578947,1.6,,1.272727273
M & J Teriyaki,BOSTON,,0,1.2,1.5,,1.272727273
PARADISE,BOSTON,2,1.214285714,,0,,1.272727273
Project Place Gatehouse,ROXBURY,,1.333333333,0,1.5,,1.272727273
RIVERSIDE CAFE-LEV1,BOSTON,0,0,0.666666667,2.4,,1.272727273
F & T Davey's Supermarket,ROXBURY,1.428571429,1.535714286,1.090909091,1.121212121,1,1.272727273
Kyo Inc.,BOSTON,0,1.428571429,1.6,0,,1.272727273
HURRICANE O'REILLY'S,BOSTON,,,0,1.4,,1.272727273
Dot Cafe,DORCHESTER,,,,,1.272727273,1.272727273
DUNKIN DONUTS(SATELLITE),EAST BOSTON,1.75,0,0,0,,1.272727273
Au Bon Pain (Cambridge St.),BOSTON,1,1.538461538,1.416666667,1,1,1.272727273
Cure Lounge (basement at Wilbur Theatre),BOSTON,0,1.4,,0,,1.272727273
ALI ROTI RESTAURANT,MISSION HILL,1,1.444444444,1,1,2,1.272727273
Starbucks Coffee No.  822,BOSTON,0.5,1.083333333,1,1.363636364,1.421052632,1.271186441
EL MONDONGUITO,ROXBURY,1,1.212765957,1.357142857,1.5,,1.270676692
WHITE HORSE TAVERN,ALLSTON,1,1,1,1.416666667,,1.27027027
sultana's bakery & cafe,BRIGHTON,1,1.5,1,1.222222222,1,1.27027027
Salvatore's,BOSTON,1,1,1.833333333,0,0,1.269230769
Seaport Hotel,BOSTON,1.222222222,0.857142857,1.142857143,1.53125,,1.269230769
THE CATERED AFFAIR @ BOS. PUBLIC LIBRARY(T.O.),BOSTON,1.444444444,0,1,1.222222222,1,1.268292683
Blue Cross Blue Sheild of Ma. Cafe,BOSTON,1.285714286,1.333333333,0,1.375,,1.268292683
Camilo Market,JAMAICA PLAIN,1,1,1,1.533333333,1.272727273,1.268292683
Down Home Delivery & Catering,DORCHESTER,1.247191011,1.269230769,1.1,1.255319149,1.454545455,1.268181818
Tostado,JAMAICA PLAIN,1.357142857,1,1.111111111,1.571428571,,1.266666667
Palm  Restaurant  (1 International Place),BOSTON,1,1.105263158,1.75,1,,1.266666667
Los Paisanos Market,EAST BOSTON,1.4,1,1,0,0,1.266666667
Latinos Restaurant,EAST BOSTON,1,1.222222222,1.4,2,1,1.266666667
Expressway Motors Inc./Camry  Cafe,DORCHESTER,1,1.285714286,1.095238095,1.857142857,,1.266666667
Cafe Landwer,BOSTON,,,,1.384615385,,1.384615385
,BRIGHTON,,,,1.176470588,,1.176470588
BLUE HILL SUPERETTE,ROXBURY,,1,1,1.666666667,,1.266666667
Coppersmith Hall,SOUTH BOSTON,1,1.333333333,1.148148148,1.461538462,,1.265625
J. P. Roti Shop,DORCHESTER,,1,1.125,1.444444444,,1.265060241
Mirisola's,SOUTH BOSTON,1,1.380952381,1.244444444,1.25,,1.264367816
WESTBURY RESTAURANT,WEST ROXBURY,1.571428571,1.210526316,1.142857143,1.21875,,1.263736264
Northeastern University/Cafe Crossing,BOSTON,0,1.555555556,1.6,0.666666667,,1.263157895
B C High School (Faculty Food Serv.),DORCHESTER,1.333333333,1.714285714,1.333333333,0,0,1.263157895
D & D Convenience Store,DORCHESTER,1.5,0.5,0,1.571428571,,1.263157895
Cityside,BRIGHTON,3,1,1,1.5,,1.263157895
Angela's Cafe II,EAST BOSTON,,1.379310345,1,1,1,1.261904762
TARANTA,BOSTON,1,1,,2.5,,1.260869565
Viga Italian Eatery,BOSTON,1.4,1.363636364,1,1,,1.260869565
PURITAN BEEF,BOSTON,1.428571429,0,0.5,1.6,0,1.260869565
Lucy Ethopian Cafe,BOSTON,1.5,0.8,0,0.5,3,1.260869565
Coco Leaf,DORCHESTER,,,1,1,1.75,1.260869565
PEKING HOUSE,ROXBURY,1.3,1.117647059,1.4,1.307692308,,1.26
THE BARKING CRAB,BOSTON,1.133333333,1.295081967,1.244444444,1.4,,1.25974026
Shin Hakata Ramen,BOSTON,,,1.428571429,1.2,,1.259259259
THE LAST DROP,BRIGHTON,1.5,0,1,1.315789474,,1.259259259
UNI,BOSTON,,1.157894737,,1.5,,1.259259259
AUNTIE ANNE'S (No. MA 110),BOSTON,1.545454545,0,0,0,,1.259259259
Cheema's Supermarket-Brighton,BRIGHTON,1,1.285714286,1,1.5,,1.259259259
SIDEWALK CAFE,SOUTH BOSTON,1,1.4375,1.296296296,1,,1.258823529
Sprinkle's Ice Cream,BOSTON,0,1.5,1,1,1,1.258064516
P & R Restaurant & Ice Cream Parlor,ROXBURY,,1.095238095,1.357142857,1.363636364,1,1.258064516
Chilli Thai Bistro,BRIGHTON,1,1.363636364,1.142857143,1.375,,1.258064516
BARNEY'S GRILL,EAST BOSTON,1,1.4,1.325581395,0,,1.257575758
No.  7 RESTAURANT,WEST ROXBURY,1.5625,1.076923077,1.142857143,1.3,1.090909091,1.256756757
MARRIOTT HOTEL-COPLEY PLACE,BOSTON,1.285714286,1.5,1.214285714,1.307692308,1.125,1.256756757
EGLESTON SQ. SERVICES INC.,ROXBURY,1,1,1,1.375,1.4,1.256410256
AN TAIN,BOSTON,1,1.375,1.4,1,1,1.256410256
TREMONT HOUSE OF PIZZA,MISSION HILL,0.666666667,1.260869565,1,1.5,1.222222222,1.256097561
Anna's Taqueria,BOSTON,1.416666667,1.181818182,1.444444444,0.941176471,1,1.256097561
Nicks/Venue,BOSTON,1,1.333333333,,1.125,,1.255319149
Freeport Street Cafeteria,DORCHESTER,1,1.166666667,1.666666667,2,0,1.255319149
AMC Theatres Boston Common 19,BOSTON,1,1.285714286,1.25,1.272727273,,1.255319149
Las Vegas Seafood Restaurant,BOSTON,1,1.333333333,1.388888889,1.153846154,,1.254901961
Super Stop & Shop No. 89,BRIGHTON,1.05,1.333333333,1,1.5,,1.254237288
Napper Tandys,ROSLINDALE,1.882352941,1,1.04,1.25,1.2,1.254237288
DUNKIN DONUTS BLUE HILL AVE,DORCHESTER,1.375,1,1,1,,1.254237288
